GRP,GRP,RW,RW_forecast,Min,Max,Fehler
10.0,10.0,8.245,19.57821610492033,16.37001530192529,23.18818030278252,-11.33321610492033
20.0,20.0,13.684,20.801993450422838,17.67912760584873,24.37949064868798,-7.117993450422839
30.0,30.0,17.075,22.08126253100579,19.255966521626235,25.74797538811309,-5.006262531005792
40.0,40.0,20.15,23.41441421474512,20.230234115699236,26.919406207334273,-3.26441421474512
50.0,50.0,22.756,24.802434155591772,21.774100107922056,28.076666165668193,-2.046434155591772
60.0,60.0,25.416,26.235473497928865,23.40692301785323,29.50626881581916,-0.8194734979288647
70.0,70.0,28.02,27.720788481809098,24.9079020345158,31.159329200785493,0.2992115181909014
80.0,80.0,28.979,29.2422390382344,26.587815246240073,32.56226306890104,-0.2632390382343992
90.0,90.0,33.501,30.81159734200599,27.84151216167346,34.25557330363055,2.689402657994009
100.0,100.0,35.431,32.392876671206835,29.202332058449095,35.59680411935206,3.038123328793162
110.0,110.0,36.689,33.97901423601522,30.896883073224117,37.281013697918524,2.7099857639847826
120.0,120.0,38.204,35.60191898166249,32.524600420955316,39.06221442415314,2.6020810183375076
130.0,130.0,39.71,37.19270845877696,34.327819830193576,40.350229889405334,2.517291541223038
140.0,140.0,41.013,38.81173940465056,35.97246699653913,42.33169980585922,2.2012605953494386
150.0,150.0,42.314,40.364895641247465,37.644533288843085,43.754144068486845,1.9491043587525354
160.0,160.0,43.651,41.937606281270305,39.08314319652549,45.21818356768911,1.713393718729698
170.0,170.0,44.964,43.41356908132923,40.18321018383108,46.657242133910785,1.55043091867077
180.0,180.0,46.152,44.90130642326692,41.940377417799404,48.24208170440222,1.2506935767330845
190.0,190.0,47.94,46.257744401818655,43.336169362050605,49.54071822056557,1.6822555981813423
200.0,200.0,48.836,47.61974449813098,44.80937736273449,50.947943701947246,1.2162555018690213
210.0,210.0,49.463,48.85443257773393,46.060370763600496,52.13662218012195,0.60856742226607
220.0,220.0,51.45,50.09052006788154,47.16707356079544,53.3217127789182,1.359479932118461
230.0,230.0,52.232,51.19379008435772,48.19827484868485,54.68870201289793,1.0382099156422768
240.0,240.0,53.532,52.29589819318835,49.177125238033746,55.729457511642686,1.2361018068116465
250.0,250.0,53.585,53.27381412308896,50.292446169307844,56.42701736383637,0.3111858769110398
260.0,260.0,55.05,54.12949355705209,51.330318663748585,57.641761388207314,0.9205064429479037
270.0,270.0,55.934,54.98274444056276,52.211851094754685,58.26910223915445,0.9512555594372358
280.0,280.0,56.582,55.7478682377801,52.64013240094527,59.05858579202872,0.8341317622199043
290.0,290.0,56.912,56.510273768167444,53.498062896670014,59.727948907936174,0.40172623183255496
300.0,300.0,57.511,57.19891758433113,54.390067396448856,60.34170215259665,0.3120824156688755
310.0,310.0,58.186,57.88478367950021,54.98284321089003,60.99561528528382,0.3012163204997904
320.0,320.0,59.594,58.50407437933115,55.61589392771455,61.70461750115855,1.0899256206688506
330.0,330.0,60.208,59.12068976743467,56.40385839190562,62.435458404059275,1.0873102325653292
340.0,340.0,60.463,59.684816408525634,56.61249642367977,62.91058275021406,0.7781835914743667
350.0,350.0,60.831,60.24639284884136,57.45126120512122,63.56535278622661,0.584607151158643
360.0,360.0,61.002,60.76083867690756,57.92889970943767,63.95738429375551,0.24116132309244165
370.0,370.0,61.387,61.272906570754365,58.445902719704414,64.65212708043731,0.11409342924563504
380.0,380.0,62.258,61.74887322426374,59.05064543355385,65.10330097589252,0.509126775736263
390.0,390.0,62.654,62.2225967478898,59.194026700471824,65.43106681294245,0.4314032521102007
400.0,400.0,63.173,62.66603961391042,60.08762468776408,65.90278444343087,0.506960386089581
410.0,410.0,63.418,63.08326918225122,60.36978147897613,66.50045130334634,0.33473081774877755
420.0,420.0,64.024,63.49855192160009,60.701980466213875,66.72809196034873,0.5254480783999114
430.0,430.0,64.186,63.8917086489727,61.048766373239296,67.15806729474788,0.2942913510273044
440.0,440.0,64.778,64.28301263749955,61.47453635139426,67.55262929922552,0.49498736250045283
450.0,450.0,64.85,64.65623136260643,62.127677119493214,67.99686149650135,0.19376863739356054
460.0,460.0,65.034,65.02767188295073,62.04438752574193,68.21824706172605,0.006328117049278603
470.0,470.0,65.452,65.38550740277391,62.54581700271498,68.7757929664117,0.06649259722608747
480.0,480.0,65.8,65.74161046939325,62.74665069825964,68.98739543653592,0.05838953060674612
490.0,490.0,65.91,66.08635359457101,63.23422655550731,69.29308178157339,-0.17635359457101174
500.0,500.0,66.189,66.42939906787912,63.8201456339262,69.9087896603523,-0.24039906787912457
510.0,510.0,66.19,66.7707193152458,63.911864720559805,69.98866858777535,-0.5807193152458012
520.0,520.0,66.359,67.1102874433538,64.35663541215791,70.44559319833557,-0.751287443353803
530.0,530.0,66.537,67.448077244644,64.49975034973968,70.89352319208416,-0.911077244643991
540.0,540.0,66.868,67.78406320179378,64.83209704219975,71.40206314831555,-0.91606320179379
550.0,550.0,66.981,68.1182204916734,65.27253462619187,71.13164234085471,-1.1372204916734034
560.0,560.0,67.919,68.4505249887846,65.75582129452296,71.97864703177818,-0.5315249887845965
570.0,570.0,67.994,68.78095326818578,65.88869922685093,72.28344897311402,-0.7869532681857834
580.0,580.0,68.387,69.10948260790919,66.34430599309626,72.6174178798377,-0.7224826079091855
590.0,590.0,68.712,69.43609099087546,66.42620199166872,72.98568124295618,-0.7240909908754531
600.0,600.0,68.899,69.76075710631207,66.67418865329077,73.3421710936879,-0.8617571063120693
601.0,601.0,,69.7931160937758,66.9510965541595,73.59376624044066,
602.0,602.0,,69.8254554317306,66.82775910536617,73.50211362388487,
603.0,603.0,,69.85777510003292,66.88513949945666,73.24656943615824,
604.0,604.0,,69.89007507860993,66.96535977484051,73.34626668097154,
605.0,605.0,,69.92235534745963,66.96791077394897,73.35981581431683,
606.0,606.0,,69.95461588665077,66.86697006423026,73.54597281393632,
607.0,607.0,,69.98685667632289,66.94245000289175,73.20407486684107,
608.0,608.0,,70.01907769668631,66.93633240809679,73.78877041379896,
609.0,609.0,,70.05127892802213,67.26949832753887,73.5950192816704,
610.0,610.0,,70.0834603506822,66.8377092099254,73.501094766661,
611.0,611.0,,70.11562194508922,67.24353520635525,73.82027918530443,
612.0,612.0,,70.14776369173656,66.90040024444006,73.80076083338177,
613.0,613.0,,70.17988557118846,67.00681699598886,73.40294715708767,
614.0,614.0,,70.21198756407986,67.40437861285999,73.57878818805865,
615.0,615.0,,70.2440696511165,67.20958406655171,73.61770614626664,
616.0,616.0,,70.27613181307484,67.2837299974627,73.80249310533216,
617.0,617.0,,70.30817403080214,67.2479392631875,73.83624131803188,
618.0,618.0,,70.34019628521636,67.48775656334242,73.66881322304201,
619.0,619.0,,70.37219855730625,67.47792504515527,73.88551588321795,
620.0,620.0,,70.40418082813127,67.23109674689262,73.77084718109148,
621.0,621.0,,70.43614307882162,67.58278942330196,73.93817496819827,
622.0,622.0,,70.46808529057823,67.53563190000264,73.99149406230507,
623.0,623.0,,70.50000744467272,67.41790048384432,74.03138296594626,
624.0,624.0,,70.53190952244742,67.67977404066406,73.918104330551,
625.0,625.0,,70.56379150531542,67.42031035843007,73.88979769963532,
626.0,626.0,,70.59565337476043,67.53622509160006,74.03939256425245,
627.0,627.0,,70.62749511233686,67.63845344281425,74.03862262544719,
628.0,628.0,,70.6593166996698,67.47134709701547,74.30073358031832,
629.0,629.0,,70.69111811845502,67.73130100741754,74.24748993208662,
630.0,630.0,,70.7228993504589,67.571304589528,74.52471996844068,
631.0,631.0,,70.75466037751849,67.74729066513756,74.42261295586401,
632.0,632.0,,70.78640118154144,67.47998174355928,74.10823918132704,
633.0,633.0,,70.81812174450606,67.99185161184579,74.24890182351785,
634.0,634.0,,70.84982204846122,67.80290256879204,74.16598023602826,
635.0,635.0,,70.88150207552641,67.92416398092963,74.41640952835651,
636.0,636.0,,70.9131618078917,67.76232914744828,74.481061556771,
637.0,637.0,,70.94480122781768,67.94839939984436,74.49410045004926,
638.0,638.0,,70.97642031763553,67.81977761173694,74.4503210457282,
639.0,639.0,,71.00801905974696,68.18082318344007,74.5614169977961,
640.0,640.0,,71.03959743662416,67.98274374723434,74.49153896017363,
641.0,641.0,,71.07115543080991,68.18444335725103,74.7795021886597,
642.0,642.0,,71.10269302491739,67.84365219197461,74.7235117437929,
643.0,643.0,,71.13421020163031,68.10049721594841,74.3721213368214,
644.0,644.0,,71.16570694370277,68.29790910095548,74.54703288101332,
645.0,645.0,,71.19718323395938,68.30702269039982,74.73211817748077,
646.0,646.0,,71.22863905529513,68.05738121467986,74.75965001146726,
647.0,647.0,,71.26007439067541,68.39425778049718,74.63318196224627,
648.0,648.0,,71.291489223136,68.40878221617031,74.93268599063322,
649.0,649.0,,71.32288353578305,68.2890030345529,74.94509927882169,
650.0,650.0,,71.35425731179305,68.28884559129652,74.84508441373869,
651.0,651.0,,71.3856105344128,68.33567400435244,74.91555620000231,
652.0,652.0,,71.41694318695941,68.4306645918346,74.81554510370152,
653.0,653.0,,71.44825525282029,68.16637122828413,74.95486201025459,
654.0,654.0,,71.47954671545308,68.35923904386071,74.96780438964205,
655.0,655.0,,71.51081755838572,68.4862466974959,74.9495715419508,
656.0,656.0,,71.54206776521626,68.40080397518754,75.11681775741918,
657.0,657.0,,71.57329731961308,68.27961020405297,75.43312362952899,
658.0,658.0,,71.6045062053146,68.45147099006638,75.37165338524008,
659.0,659.0,,71.6356944061295,68.47641987604352,75.37269687848439,
660.0,660.0,,71.66686190593651,68.53198206962652,75.4364552893647,
661.0,661.0,,71.69800868868451,68.67380325530391,75.39725164369688,
662.0,662.0,,71.72913473839239,68.62814697409912,75.47235118772849,
663.0,663.0,,71.76024003914918,68.62458930567361,75.5739584807175,
664.0,664.0,,71.79132457511386,68.7311456173325,75.26193618513624,
665.0,665.0,,71.82238833051545,68.41344407818292,75.4139640068664,
666.0,666.0,,71.85343128965293,68.57246844871803,75.55044661258948,
667.0,667.0,,71.88445343689526,68.74752979485453,75.5907086910603,
668.0,668.0,,71.91545475668123,68.6300902941917,75.66988882053289,
669.0,669.0,,71.94643523351961,68.79078889225383,75.71975733137695,
670.0,670.0,,71.97739485198902,68.77734954768036,75.87550667878628,
671.0,671.0,,72.00833359673787,68.90866687210509,75.87526077865361,
672.0,672.0,,72.03925145248444,68.86318381265258,75.65368297916406,
673.0,673.0,,72.07014840401672,68.7328546511042,75.84927116545194,
674.0,674.0,,72.10102443619252,68.65152622931369,76.07659794405434,
675.0,675.0,,72.1318795339393,68.84233270898886,75.83725283990111,
676.0,676.0,,72.16271368225424,68.59676546705695,75.78220730458176,
677.0,677.0,,72.19352686620418,68.97826638763858,75.81880078199526,
678.0,678.0,,72.22431907092559,68.95216710986121,76.00474433037382,
679.0,679.0,,72.2550902816245,68.86679639118587,75.77597989091011,
680.0,680.0,,72.28584048357654,68.99871119204376,76.01945707049121,
681.0,681.0,,72.31656966212687,68.9787124367831,76.24678355238396,
682.0,682.0,,72.34727780269009,68.82115431856141,75.87198869350719,
683.0,683.0,,72.37796489075032,69.00600094833474,76.1017638855015,
684.0,684.0,,72.40863091186111,68.92828554601407,76.19376539353158,
685.0,685.0,,72.43927585164539,69.34328031793812,76.38009496723369,
686.0,686.0,,72.4698996957954,69.21986148304919,76.30576632069126,
687.0,687.0,,72.50050243007281,69.23117994360855,76.2622160875023,
688.0,688.0,,72.5310840403085,69.06429497814413,76.35208634490343,
689.0,689.0,,72.56164451240264,69.14682428957144,76.19055851761476,
690.0,690.0,,72.59218383232462,69.14354479953417,76.44525265630672,
691.0,691.0,,72.62270198611297,69.17287638695116,76.36985621778238,
692.0,692.0,,72.65319895987544,69.21942266409944,76.31588521518708,
693.0,693.0,,72.68367473978881,69.37131326003897,76.24051587598098,
694.0,694.0,,72.714129312099,69.52407307032946,76.34536449320971,
695.0,695.0,,72.74456266312092,69.28379469066506,76.47626906246579,
696.0,696.0,,72.77497477923849,69.38989612089456,76.71812415984037,
697.0,697.0,,72.80536564690456,69.35946982511751,76.6341233137628,
698.0,698.0,,72.83573525264097,69.44957459850107,76.72954147721278,
699.0,699.0,,72.86608358303835,69.4346580486795,76.75182044751736,
700.0,700.0,,72.89641062475621,69.37198080252601,76.90388997919763,
701.0,701.0,,72.92671636452287,69.47335157952195,76.89631062252927,
702.0,702.0,,72.95700078913538,69.47992348889467,76.9033612359456,
703.0,703.0,,72.98726388545953,69.65372615601997,77.02044041327034,
704.0,704.0,,73.01750564042973,69.58859196659222,76.9164887926924,
705.0,705.0,,73.04772604104909,69.40946656633518,76.90606929714393,
706.0,706.0,,73.07792507438931,69.38643244650072,76.77266794295551,
707.0,707.0,,73.10810272759058,69.81873619067564,77.03599241404014,
708.0,708.0,,73.13825898786162,69.68416208284384,76.88931526894515,
709.0,709.0,,73.16839384247963,69.66398653406229,77.23302172749307,
710.0,710.0,,73.19850727879023,69.72175567841896,77.3360648323129,
711.0,711.0,,73.22859928420738,69.48189375085138,77.06712628726845,
712.0,712.0,,73.2586698462134,69.8623066822687,77.01057192175547,
713.0,713.0,,73.2887189523589,69.90602139252601,77.21115422811003,
714.0,714.0,,73.31874659026269,69.71011383153503,77.57580332007217,
715.0,715.0,,73.34875274761183,69.69629597697116,77.3906350642387,
716.0,716.0,,73.37873741216144,69.94779549206324,77.32577024380876,
717.0,717.0,,73.40870057173488,69.83333881794546,77.4138284491284,
718.0,718.0,,73.43864221422344,69.8596866857778,77.43223036555653,
719.0,719.0,,73.46856232758648,69.7668099313425,77.36197335063116,
720.0,720.0,,73.49846089985131,69.78795503491507,77.26038744727771,
721.0,721.0,,73.52833791911314,69.83883034240888,77.67537953197571,
722.0,722.0,,73.55819337353506,69.78934432103556,77.63060943124914,
723.0,723.0,,73.588027251348,70.00781710476726,77.53849120636978,
724.0,724.0,,73.61783954085061,69.71400320951012,78.06383622334917,
725.0,725.0,,73.64763023040932,69.74590282384867,77.48272933022552,
726.0,726.0,,73.67739930845816,70.13821269360723,77.909008137453,
727.0,727.0,,73.70714676349884,69.73148250177628,77.7947409286367,
728.0,728.0,,73.7368725841006,70.00594175338458,77.75954656083253,
729.0,729.0,,73.76657675890023,69.97411063321299,77.55838557039245,
730.0,730.0,,73.79625927660199,70.09582381949063,77.9276628805435,
731.0,731.0,,73.82592012597755,69.6976822215698,78.31355175605219,
732.0,732.0,,73.85555929586593,70.12287294785682,77.91494570821517,
733.0,733.0,,73.88517677517345,70.0806563124076,78.0000676611954,
734.0,734.0,,73.91477255287379,70.07973744074532,77.95139824580279,
735.0,735.0,,73.94434661800776,70.18616118519748,78.54041611203914,
736.0,736.0,,73.9738989596833,70.14600399246508,77.90819857306927,
737.0,737.0,,74.00342956707551,70.09611630285535,78.47261165840057,
738.0,738.0,,74.03293842942655,70.08769045882907,77.99873630475857,
739.0,739.0,,74.06242553604555,70.111743046082,78.29369313586011,
740.0,740.0,,74.09189087630857,70.09737101220654,78.02896629735265,
741.0,741.0,,74.1213344396586,70.20812907509482,78.29301550392104,
742.0,742.0,,74.1507562156054,70.25932007710944,78.19988466887712,
743.0,743.0,,74.18015619372561,70.33073256433147,78.49652399616753,
744.0,744.0,,74.20953436366247,70.44428780696944,78.43538728877304,
745.0,745.0,,74.23889071512599,70.18743127536352,78.38790971129518,
746.0,746.0,,74.26822523789274,70.44417730072445,78.54415174367283,
747.0,747.0,,74.29753792180583,70.33068489260573,78.52055847982041,
748.0,748.0,,74.32682875677493,70.16197336844851,78.63134506945413,
749.0,749.0,,74.35609773277608,70.20505480299279,78.63012022619964,
750.0,750.0,,74.38534483985175,70.40652916110642,78.61787718770401,
751.0,751.0,,74.4145700681107,70.43016920087557,78.65989642490933,
752.0,752.0,,74.44377340772803,70.2890983833586,78.59517088516414,
753.0,753.0,,74.47295484894495,70.37767675482823,78.79680967111236,
754.0,754.0,,74.50211438206887,70.60075260750135,79.04779400131974,
755.0,755.0,,74.53125199747329,70.43478737092154,78.86909768651579,
756.0,756.0,,74.56036768559774,70.17865851231375,78.93443654033518,
757.0,757.0,,74.58946143694773,70.41625089978523,78.9411360830889,
758.0,758.0,,74.61853324209463,70.52322974333393,78.88998113171968,
759.0,759.0,,74.64758309167576,70.52271931726821,78.7464984269596,
760.0,760.0,,74.67661097639413,70.69376959818369,79.16344246338997,
761.0,761.0,,74.70561688701855,70.57832231722789,79.28528789113953,
762.0,762.0,,74.73460081438344,70.7247615407899,79.20536500140125,
763.0,763.0,,74.7635627493889,70.51432337555184,79.19618714435099,
764.0,764.0,,74.79250268300049,70.65153558225757,79.39262249534657,
765.0,765.0,,74.8214206062493,70.53416245761146,79.35781946860814,
766.0,766.0,,74.85031651023189,70.4648724030987,79.28430763411139,
767.0,767.0,,74.87919038611005,70.58691791544454,79.33376385305583,
768.0,768.0,,74.90804222511099,70.71753357194622,79.37824740995266,
769.0,769.0,,74.93687201852707,70.4566216506744,79.4202960949313,
770.0,770.0,,74.96567975771586,70.60155059137729,79.38407248892428,
771.0,771.0,,74.99446543410002,70.60391013016657,79.62504910182066,
772.0,772.0,,75.02322903916723,70.60855152181665,79.62101847068227,
773.0,773.0,,75.05197056447018,70.99335103062447,79.47310399035882,
774.0,774.0,,75.08069000162646,70.78899864581318,79.6636503320495,
775.0,775.0,,75.10938734231848,70.60356136774433,79.87183037342787,
776.0,776.0,,75.13806257829346,70.67112693186048,79.82348836596735,
777.0,777.0,,75.16671570136329,70.58369069217015,79.50179330926444,
778.0,778.0,,75.19534670340458,70.88776208460544,79.90548630507661,
779.0,779.0,,75.22395557635843,70.77568597510067,79.98274387950954,
780.0,780.0,,75.25254231223053,70.77139740454922,79.55290056703025,
781.0,781.0,,75.28110690309099,70.89915860115163,79.90245998406066,
782.0,782.0,,75.30964934107429,70.6546584808666,79.91502144231855,
783.0,783.0,,75.33816961837923,71.02986723689843,79.79018952593376,
784.0,784.0,,75.36666772726885,70.94227353417898,80.09688167882496,
785.0,785.0,,75.39514366007037,70.86970326455094,79.79034494252701,
786.0,786.0,,75.42359740917514,70.89523136744363,79.9907015689713,
787.0,787.0,,75.45202896703853,70.85050214590272,80.23476063719251,
788.0,788.0,,75.48043832617986,70.9192331661099,80.2182630781628,
789.0,789.0,,75.50882547918238,70.706014876212,79.95379216306432,
790.0,790.0,,75.53719041869317,71.0820085850959,79.98077047860292,
791.0,791.0,,75.56553313742307,70.89163379860754,80.41597119506443,
792.0,792.0,,75.5938536281466,71.08232113059705,80.0422565186874,
793.0,793.0,,75.62215188370196,70.84160104577363,80.07880950870778,
794.0,794.0,,75.65042789699079,70.83860827374592,80.46003210190258,
795.0,795.0,,75.6786816609783,71.15012404401557,80.40988491106728,
796.0,796.0,,75.70691316869309,71.04237857989875,80.40244261424029,
797.0,797.0,,75.73512241322712,70.80609426738266,80.27482226907222,
798.0,798.0,,75.76330938773555,71.0932509246263,80.52834199974862,
799.0,799.0,,75.79147408543679,70.99130409601402,80.4198067959623,
800.0,800.0,,75.81961649961237,71.11572602710466,80.38285180411312,
801.0,801.0,,75.84773662360686,71.14297991486772,80.76324829664932,
802.0,802.0,,75.87583445082781,70.94524761517344,80.8896130841492,
803.0,803.0,,75.90390997474567,71.07702865107836,80.89612435761819,
804.0,804.0,,75.93196318889375,70.79348283909066,81.27328750595976,
805.0,805.0,,75.95999408686805,70.94684620490364,80.85900577174642,
806.0,806.0,,75.98800266232733,70.95461854439056,80.75415050764049,
807.0,807.0,,76.01598890899294,71.16338803880443,80.94229039274131,
808.0,808.0,,76.04395282064874,71.16763717781907,80.79175049877682,
809.0,809.0,,76.0718943911411,71.06519368326816,81.11059810607931,
810.0,810.0,,76.09981361437869,71.20019102871618,80.95110521141949,
